Time,Consumption,Type
2011-11-23,5.594521428571428,No holiday
2011-11-24,7.787646969696968,No holiday
2011-11-25,8.092409090909088,No holiday
2011-11-26,9.917484599224304,No holiday
2011-11-27,8.86388236470588,No holiday
2011-11-28,8.281733779934237,No holiday
2011-11-29,7.705838484469695,No holiday
2011-11-30,7.278700181255244,No holiday
2011-12-01,7.644409962082767,No holiday
2011-12-02,9.079804479327864,No holiday
2011-12-03,9.953923291995684,No holiday
2011-12-04,10.821425527659573,No holiday
2011-12-05,9.714517791247417,No holiday
2011-12-06,10.111067439063593,No holiday
2011-12-07,9.814118037418227,No holiday
2011-12-08,9.470255819935684,No holiday
2011-12-09,10.004051270360636,No holiday
2011-12-10,11.183799165348905,No holiday
2011-12-11,11.90647826811594,No holiday
2011-12-12,10.70527209153198,No holiday
2011-12-13,10.246533680228069,No holiday
2011-12-14,10.047276999299385,No holiday
2011-12-15,10.211337219657072,No holiday
2011-12-16,10.737510957924403,No holiday
2011-12-17,11.960204751916285,No holiday
2011-12-18,12.528292565356857,No holiday
2011-12-19,12.242528810176148,No holiday
2011-12-20,11.02103727965826,No holiday
2011-12-21,10.595649026599634,No holiday
2011-12-22,10.374272701806447,No holiday
2011-12-23,11.103465354725795,No holiday
2011-12-24,11.81594393271028,No holiday
2011-12-25,12.263214951401867,No holiday
2011-12-26,9.652140189719624,No holiday
2011-12-27,10.211457950467288,No holiday
2011-12-28,10.564551028800876,No holiday
2011-12-29,10.498490529786755,No holiday
2011-12-30,10.742436664080392,No holiday
2011-12-31,10.234412278070174,No holiday
2012-01-01,10.245912280701752,No holiday
2012-01-02,10.969122807894736,No holiday
2012-01-03,10.179147266588531,No holiday
2012-01-04,10.065344825,No holiday
2012-01-05,10.362370694827584,No holiday
2012-01-06,10.503120693103448,No holiday
2012-01-07,10.549077587931032,No holiday
2012-01-08,11.428310346551722,No holiday
2012-01-09,10.437435894238668,No holiday
2012-01-10,9.796955714242555,No holiday
2012-01-11,10.006999998290595,No holiday
2012-01-12,9.96732022306968,No holiday
2012-01-13,10.39727966355932,No holiday
2012-01-14,11.073025423728811,No holiday
2012-01-15,11.989014623710514,No holiday
2012-01-16,10.425469037457804,No holiday
2012-01-17,11.47651579125683,No holiday
2012-01-18,10.87994223459874,No holiday
2012-01-19,10.855706648341934,No holiday
2012-01-20,11.836052147950156,No holiday
2012-01-21,12.056346448818896,No holiday
2012-01-22,12.70367717086614,No holiday
2012-01-23,11.918789242337658,No holiday
2012-01-24,11.824604513914055,No holiday
2012-01-25,11.573329914676547,No holiday
2012-01-26,12.068893403326983,No holiday
2012-01-27,11.70405191794984,No holiday
2012-01-28,12.339633089208633,No holiday
2012-01-29,13.017870492805754,No holiday
2012-01-30,12.137527930171435,No holiday
2012-01-31,12.108809311891918,No holiday
2012-02-01,12.19537228797981,New Years Day (substitute day)
2012-02-02,12.50334342660476,No holiday
2012-02-03,12.817761120878094,No holiday
2012-02-04,13.690127882954934,No holiday
2012-02-05,14.494346409150326,No holiday
2012-02-06,12.921641601685288,No holiday
2012-02-07,12.54244411836108,No holiday
2012-02-08,13.773813639350928,No holiday
2012-02-09,12.767522069681132,No holiday
2012-02-10,13.637649631696975,No holiday
2012-02-11,13.805163629090908,No holiday
2012-02-12,14.422333338181817,No holiday
2012-02-13,12.860267108303768,No holiday
2012-02-14,12.478222463103322,No holiday
2012-02-15,11.614590821953682,No holiday
2012-02-16,11.22464669520958,No holiday
2012-02-17,11.501766971044743,No holiday
2012-02-18,12.018332517147844,No holiday
2012-02-19,13.170982144642856,No holiday
2012-02-20,12.370435332545236,No holiday
2012-02-21,11.7821913244752,No holiday
2012-02-22,11.908268759553312,No holiday
2012-02-23,10.707689409712556,No holiday
2012-02-24,10.723902595013296,No holiday
2012-02-25,10.62199999085714,No holiday
2012-02-26,11.620144559688011,No holiday
2012-02-27,10.862335754377668,No holiday
2012-02-28,10.3009474413585,No holiday
2012-02-29,10.362509999768648,No holiday
2012-03-01,10.04399045272323,No holiday
2012-03-02,10.62406242685317,No holiday
2012-03-03,10.964081522282608,No holiday
2012-03-04,12.245637471094676,No holiday
2012-03-05,11.387115293041695,No holiday
2012-03-06,11.543248130424844,No holiday
2012-03-07,11.462117493292643,No holiday
2012-03-08,10.768418853121233,No holiday
2012-03-09,11.019695141072344,No holiday
2012-03-10,10.74729286028983,No holiday
2012-03-11,11.443430059067357,No holiday
2012-03-12,9.74019895176326,No holiday
2012-03-13,10.09528985537737,No holiday
2012-03-14,10.13866127595668,No holiday
2012-03-15,9.949377228008512,No holiday
2012-03-16,10.166678515718155,No holiday
2012-03-17,10.933982753978864,No holiday
2012-03-18,10.836640761467653,No holiday
2012-03-19,9.964222641553052,No holiday
2012-03-20,9.485340025525089,No holiday
2012-03-21,9.323936914572108,No holiday
2012-03-22,9.349614112365586,No holiday
2012-03-23,9.418206425088592,No holiday
2012-03-24,9.52990065086,No holiday
2012-03-25,10.115367124305976,No holiday
2012-03-26,9.36726733237924,No holiday
2012-03-27,8.923085142362833,No holiday
2012-03-28,9.00194932059768,No holiday
2012-03-29,8.666377649958418,No holiday
2012-03-30,8.841917262898203,No holiday
2012-03-31,9.882019231923076,No holiday
2012-04-01,10.03286154,No holiday
2012-04-02,9.111662381091772,No holiday
2012-04-03,9.231922119217948,No holiday
2012-04-04,9.428397489381226,No holiday
2012-04-05,9.736645929896408,No holiday
2012-04-06,9.82548263923611,Spring bank holiday (substitute day)
2012-04-07,9.64022225608304,No holiday
2012-04-08,10.195430569396049,No holiday
2012-04-09,9.81144160129614,No holiday
2012-04-10,8.829544833815666,No holiday
2012-04-11,8.987549743886108,No holiday
2012-04-12,9.119450708045258,No holiday
2012-04-13,9.326411322167552,No holiday
2012-04-14,9.645368738078467,No holiday
2012-04-15,10.053728223506171,No holiday
2012-04-16,9.514700950964349,No holiday
2012-04-17,9.618254645086036,No holiday
2012-04-18,9.733296721783862,No holiday
