Time,Consumption,Type
2011-11-23,6.086,No holiday
2011-11-24,9.857583308333332,No holiday
2011-11-25,9.91746665,No holiday
2011-11-26,8.983523795238094,No holiday
2011-11-27,11.401428557142856,No holiday
2011-11-28,10.418605017839104,No holiday
2011-11-29,11.62568957591575,No holiday
2011-11-30,11.024714748039214,No holiday
2011-12-01,10.538091470752926,No holiday
2011-12-02,10.691960016,No holiday
2011-12-03,11.053061926923077,No holiday
2011-12-04,12.786807692307692,No holiday
2011-12-05,11.44790278041977,No holiday
2011-12-06,11.156672342329545,No holiday
2011-12-07,10.793106509488114,No holiday
2011-12-08,11.126189545289735,No holiday
2011-12-09,11.698901024392525,No holiday
2011-12-10,11.398947920606732,No holiday
2011-12-11,13.338125179535558,No holiday
2011-12-12,11.195174008634597,No holiday
2011-12-13,10.801855572480337,No holiday
2011-12-14,11.659278726109424,No holiday
2011-12-15,11.350813327963785,No holiday
2011-12-16,12.325459991567072,No holiday
2011-12-17,12.712673782435898,No holiday
2011-12-18,13.58124746585443,No holiday
2011-12-19,13.64247448393822,No holiday
2011-12-20,12.434344654651106,No holiday
2011-12-21,11.77977150819572,No holiday
2011-12-22,11.524365577310444,No holiday
2011-12-23,11.924327904649926,No holiday
2011-12-24,12.86335713108314,No holiday
2011-12-25,13.04029764409388,No holiday
2011-12-26,11.438427626010002,No holiday
2011-12-27,11.05346086347826,No holiday
2011-12-28,11.45748478793574,No holiday
2011-12-29,12.254407925359637,No holiday
2011-12-30,12.015066379598442,No holiday
2011-12-31,12.6088640016,No holiday
2012-01-01,12.445952001599998,No holiday
2012-01-02,12.118150575838708,No holiday
2012-01-03,12.630396170280427,No holiday
2012-01-04,12.673388045232528,No holiday
2012-01-05,12.445147809202073,No holiday
2012-01-06,12.33561473272261,No holiday
2012-01-07,12.712136390346414,No holiday
2012-01-08,12.96523843582062,No holiday
2012-01-09,12.246052268120154,No holiday
2012-01-10,11.754496536028622,No holiday
2012-01-11,11.395857478986285,No holiday
2012-01-12,11.663958605525542,No holiday
2012-01-13,12.192711190608373,No holiday
2012-01-14,13.074563688721804,No holiday
2012-01-15,13.407006413633438,No holiday
2012-01-16,12.852294840606945,No holiday
2012-01-17,12.539559705223878,No holiday
2012-01-18,12.026776128358208,No holiday
2012-01-19,11.887349143935875,No holiday
2012-01-20,11.920942192914652,No holiday
2012-01-21,11.965693287133629,No holiday
2012-01-22,12.617288458066238,No holiday
