Time,Consumption,Type
2011-11-23,7.917428458772893,No holiday
2011-11-24,10.496058685990391,No holiday
2011-11-25,10.420937226900028,No holiday
2011-11-26,11.076105029445475,No holiday
2011-11-27,10.850804892682923,No holiday
2011-11-28,10.059005431117289,No holiday
2011-11-29,9.76196372247939,No holiday
2011-11-30,9.45084741713851,No holiday
2011-12-01,9.830573522244588,No holiday
2011-12-02,10.441296232055477,No holiday
2011-12-03,11.120887575645538,No holiday
2011-12-04,12.240603607207206,No holiday
2011-12-05,11.100212839531858,No holiday
2011-12-06,11.897481023782037,No holiday
2011-12-07,11.476094665368604,No holiday
2011-12-08,11.9636919585276,No holiday
2011-12-09,12.164723490165551,No holiday
2011-12-10,13.023269704214776,No holiday
2011-12-11,13.737107884380078,No holiday
2011-12-12,12.259694902839671,No holiday
2011-12-13,12.149376199848833,No holiday
2011-12-14,12.5555553740992,No holiday
2011-12-15,12.678029684271555,No holiday
2011-12-16,13.53377017380165,No holiday
2011-12-17,13.83461849239768,No holiday
2011-12-18,14.763333895720638,No holiday
2011-12-19,14.251410546715476,No holiday
2011-12-20,12.987548422997948,No holiday
2011-12-21,12.462327853389608,No holiday
2011-12-22,12.050915213599698,No holiday
2011-12-23,12.356097839045278,No holiday
2011-12-24,13.061939305626032,No holiday
2011-12-25,12.992909831342423,No holiday
2011-12-26,11.087861175766184,No holiday
2011-12-27,11.482757255936674,No holiday
2011-12-28,11.87510915971511,No holiday
2011-12-29,12.360319313182185,No holiday
2011-12-30,12.504631183891894,No holiday
2011-12-31,12.450320385436893,No holiday
2012-01-01,12.490754852427184,No holiday
2012-01-02,12.750018813896368,No holiday
2012-01-03,12.812510323851182,No holiday
2012-01-04,12.736465730904374,No holiday
2012-01-05,12.878886569350186,No holiday
2012-01-06,12.740066443362194,No holiday
2012-01-07,12.79142999800847,No holiday
2012-01-08,13.39201297593694,No holiday
2012-01-09,12.441017818116991,No holiday
2012-01-10,12.013204945127704,No holiday
2012-01-11,11.972228275471943,No holiday
2012-01-12,12.102399919876676,No holiday
2012-01-13,12.533112380490843,No holiday
2012-01-14,13.540396613294122,No holiday
2012-01-15,14.071020477227483,No holiday
2012-01-16,13.116076136132472,No holiday
2012-01-17,13.263921514857737,No holiday
2012-01-18,12.785717535020282,No holiday
2012-01-19,12.33834258461744,No holiday
2012-01-20,12.894337156134483,No holiday
2012-01-21,12.861861905137816,No holiday
2012-01-22,13.691005072857363,No holiday
2012-01-23,12.73462236970706,No holiday
